GOUAREC - Bel Air;Rue de Bel Air;Gouarec;22570;2021-01-28;;1302;2;3
LOUDEAC - Foyer municipal;34, Rue de Moncontour;Loudéac;22600;2021-01-20;;889;2;3
LANVOLLON - Salle Armor Argoat;Rue du Tregor;Lanvollon;22290;2021-01-28;;1303;2;3
LAMBALLE - Salle municipale;6, Rue mouexigne;Lamballe-Armor;22400;2021-01-21;;886;2;3
ST BRIEUC - Palais des congrés BREZILLET;16, rue Pierre de Coubertin;Saint-Brieuc;22099;2021-01-18;;854;2;3
DINAN - Centre des congrès;Rue Victor Basch;Dinan;22100;2021-01-19;;887;2;2
GUINGAMP - Centre social;Rue Hyacinthe Cheval;Guingamp;22200;2021-01-21;;890;2;3
LANNION - Salle des ursulines;Place des Patriotes;Lannion;22300;2021-01-18;;893;2;3
PAIMPOL - Gymnase Kerraoul 2;18, Voie Communale Hent Kervig;Paimpol;22500;2021-03-30;;2348;2;3
ST BRIEUC- BREZILLET 2 (SDIS);16, Rue Pierre de Coubertin;Saint Brieuc;22000;2021-05-02;;2510;2;3
MORLAIX - Parc des expos de Langolvas;Langolvas;Garlan;29610;2021-03-01;;1649;2;2
LANDERNEAU - Gymnase Kergreis;Route de Kéranéost;Landerneau;29800;2021-01-25;;929;2;1
CARHAIX - Espace Glenmor;Rue Jean Monnet;Carhaix-Plouguer;29270;2021-03-15;;1997;2;2
ST RENAN - Centre culturel;1, Place Leon Cheminant;Saint-Renan;29290;2021-01-18;;918;2;3
CHATEAULIN - Espace Coatigrac'h;Rocade Quimill;Châteaulin;29150;2021-01-19;;920;2;2
QUIMPER - Salle des fêtes Dan Ar Braz;Rue de Stang Bihan;Quimper;29000;2021-01-19;;925;2;3
DOUARNENEZ - Espace sportif Jules Verne;2, Rue Jules Verne;Douarnenez;29100;2021-01-26;;927;2;3
QUIMPERLE - Complexe sportif;Rue de Kerjouanneau;Quimperlé;29300;2021-01-26;;930;2;2
BREST Arena;140, Boulevard de Plymouth;Brest;29200;2021-03-16;;1009;2;2
MELGVEN - Salle polyvalente;rue Per Jakez Hélias;Melgven;29140;2021-01-20;;1154;2;2
