ST BRIEUC - Palais des congrés BREZILLET;16, rue Pierre de Coubertin;Saint-Brieuc;22099;2021-01-18;;https://www.keldoc.com/centre-municipal-de-sante/st-brieuc-22000/robien-saint-brieuc/centre-de-vaccination-de-robien-saint-brieuc?category=-1&cabinet=16618&specialty=144;854;keldoc;2;3;81652:50103:50091:49901:49786:48912:50104:51351:51359:51366:50098:50087:51367:51368:50100:50102:50088:51350:50101:51362:51357:51361:51354:50106:50099:49635:49900:51364:50093:51369:50092:50090:49783:51363:50094:49766:51352:50105:51365:49788:51356:51355:49904:50089:51358:49905:48911:49785:49787:50097:49903:50096:48910:51349:49902:49784:50095:51360
ROSTRENEN - Salle des fêtes;Place du Bourk Kozh;Rostrenen;22110;2021-01-28;;https://vaccination-covid.keldoc.com/cabinet-medical/rostrenen-22110/salle-des-fetes-rostrenen/centre-de-vaccination-de-la-salle-des-fetes-rostrenen;1302;keldoc;2;3;83354:49555:49553:49883:49554:49456
DINAN - Centre des congrès;Rue Victor Basch;Dinan;22100;2021-01-19;;https://partners.doctolib.fr/centre-depistage-covid/saint-malo-et-dinan/gh-rance-emeraude-vaccination-covid?pid=practice-164881&enable_cookies_consent=1;887;doctolib;2;2;2787733:435609-407583-411277-425444-435705-407582:164881
LOUDEAC - Foyer municipal;34, Rue de Moncontour;Loudéac;22600;2021-01-20;;https://vaccination-covid.keldoc.com/centre-municipal-de-sante/loudeac-22600/centre-de-vaccination-loudeac-foyer-municipal;889;keldoc;2;3;82726:55445:51371:51316:49172:51315:49661:49916:51370:55446:55447:50138:49543
LANNION - Salle des ursulines;Place des Patriotes;Lannion;22300;2021-01-18;;https://vaccination-covid.keldoc.com/centre-municipal-de-sante/lannion-22300/centre-de-vaccination-de-lannion/centre-de-vaccination-de-lannion-salle-des-ursulines;893;keldoc;2;3;82145:51319:51318:49715:49646:49796:51317
ST BRIEUC- BREZILLET 2 (SDIS);16, Rue Pierre de Coubertin;Saint Brieuc;22000;2021-05-02;;https://www.keldoc.com/centre-municipal-de-sante/st-brieuc-22000/centre-de-vaccination-saint-brieuc-palais-des-congres-et-des-expositions-de-la-baie-de-saint-brieuc-brezillet-2?category=-1&cabinet=25867&specialty=496;2510;keldoc;2;3;95903:56007:56008:56004:56005:56006:56009:56012:56014:56010:56011:56013:56026:56017:56015:56025:56016:56018:56021:56019:56020:56023:56022:56024:56027:56028
LANVOLLON - Salle Armor Argoat;Rue du Tregor;Lanvollon;22290;2021-01-28;;https://vaccination-covid.keldoc.com/cabinet-medical/lanvollon-22290/ville-de-lanvollon/centre-de-vaccination-de-la-ville-de-lanvollon;1303;keldoc;2;3;83105:49350:49349:51377:49637:49348
GUINGAMP - Centre social;Rue Hyacinthe Cheval;Guingamp;22200;2021-01-21;;https://vaccination-covid.keldoc.com/centre-municipal-de-sante/guingamp-22200/guingamp/centre-de-vaccination-guingamp-centre-social-guingamp;890;keldoc;2;3;82624:49755:49449:49757:49756:49033:49557
PAIMPOL - Gymnase Kerraoul 2;18, Voie Communale Hent Kervig;Paimpol;22500;2021-03-30;;https://vaccination-covid.keldoc.com/cabinet-medical/paimpol-22500/centre-de-vaccination-de-paimpol-gymnase-k2;2348;keldoc;2;3;88044:51430:52984:51431:52985:52986:51427:52987:51429:51428:51426
LAMBALLE - Salle municipale;6, Rue mouexigne;Lamballe-Armor;22400;2021-01-21;;https://vaccination-covid.keldoc.com/maison-de-sante/lamballe-22400/lamballe/centre-de-vaccination-lamballe-salle-municipale-lamballe;886;keldoc;2;3;82027:51330:51325:51329:51327:49595:49594:49816:51331:49593:49591:49032:51334:51333:51332:51328:51326:51335
