ST BRIEUC - Palais des congrés BREZILLET;16, rue Pierre de Coubertin;Saint-Brieuc;22099;2021-01-18;;https://vaccination-covid.keldoc.com/centre-municipal-de-sante/st-brieuc-22000/robien-saint-brieuc?category=-1&cabinet=16618&specialty=144;854;keldoc;2;3;81652:48910:48911:48912:49635:49766:49783:49784:49785:49786:49787:49788:49900:49901:49902:49903:49904:49905:50087:50088:50089:50090:50091:50092:50093:50094:50095:50096:50097:50098:50099:50100:50101:50102:50103:50104:50105:50106:55538:55539:55540:55541:55542:55543:55544:55545:55546:55547:55548:55549:55550:55551:55552:55553:55554:55555:55556:55557
ROSTRENEN - Salle des fêtes;Place du Bourk Kozh;Rostrenen;22110;2021-01-28;;https://vaccination-covid.keldoc.com/cabinet-medical/rostrenen-22110/salle-des-fetes-rostrenen/centre-de-vaccination-de-la-salle-des-fetes-rostrenen;1302;keldoc;2;3;94514:49456:49553:49554:49555:49883:56264:56509
LOUDEAC - Foyer municipal;34, Rue de Moncontour;Loudéac;22600;2021-01-20;;https://vaccination-covid.keldoc.com/centre-municipal-de-sante/loudeac-22600/centre-de-vaccination-loudeac-foyer-municipal;889;keldoc;2;3;82728:49172:49543:49661:49916:50138:51315:51316:51370:51371:53629:53630:55445:55446:55447:55621:56122:56403:56404:56406:56430
DINAN - Centre des congrès;Rue Victor Basch;Dinan;22100;2021-01-19;;https://partners.doctolib.fr/centre-depistage-covid/saint-malo-et-dinan/gh-rance-emeraude-vaccination-covid?pid=practice-164881&enable_cookies_consent=1;887;doctolib;2;2;2787733:407582-407583-411277-425444-435609-435705-461412-467810-475696:164881
LANNION - Salle des ursulines;Place des Patriotes;Lannion;22300;2021-01-18;;https://vaccination-covid.keldoc.com/centre-municipal-de-sante/lannion-22300/centre-de-vaccination-de-lannion/centre-de-vaccination-de-lannion-salle-des-ursulines;893;keldoc;2;3;82145:49646:49715:49796:51317:51318:51319:55581:55582:55586:55892:55893
ST BRIEUC- BREZILLET 2 (SDIS);16, Rue Pierre de Coubertin;Saint Brieuc;22000;2021-05-02;;https://vaccination-covid.keldoc.com/centre-municipal-de-sante/st-brieuc-22000/centre-de-vaccination-saint-brieuc-palais-des-congres-et-des-expositions-de-la-baie-de-saint-brieuc-brezillet-2;2510;keldoc;2;3;95903:56004:56005:56006:56007:56008:56009:56010:56011:56012:56013:56014:56015:56016:56017:56018:56019:56020:56021:56022:56023:56024:56025:56026:56027:56028:56447:56448:56449:56467:56468
LANVOLLON - Salle Armor Argoat;Rue du Tregor;Lanvollon;22290;2021-01-28;;https://vaccination-covid.keldoc.com/cabinet-medical/lanvollon-22290/ville-de-lanvollon/centre-de-vaccination-de-la-ville-de-lanvollon;1303;keldoc;2;3;83105:49348:49349:49350:49637:51377:55518:55519:55521:55524:55525
GUINGAMP - Centre social;Rue Hyacinthe Cheval;Guingamp;22200;2021-01-21;;https://vaccination-covid.keldoc.com/centre-municipal-de-sante/guingamp-22200/guingamp/centre-de-vaccination-guingamp-centre-social-guingamp;890;keldoc;2;3;82624:49033:49449:49557:49755:49756:49757
PAIMPOL - Gymnase Kerraoul 2;18, Voie Communale Hent Kervig;Paimpol;22500;2021-03-30;;https://vaccination-covid.keldoc.com/cabinet-medical/paimpol-22500/centre-de-vaccination-de-paimpol-gymnase-k2;2348;keldoc;2;3;88048:51426:51427:51428:51429:51430:51431:52984:52985:52986:52987
LAMBALLE - Salle municipale;6, Rue mouexigne;Lamballe-Armor;22400;2021-01-21;;https://vaccination-covid.keldoc.com/maison-de-sante/lamballe-22400/lamballe/centre-de-vaccination-lamballe-salle-municipale-lamballe;886;keldoc;2;3;82027:51325:51326:51327:51328:51329:51330:51331:51332:51333:51334:51335:55508:56346:56347:56348:56349:56350:56412:56415:56416
