CH Ploërmel;7, Rue du Roi Arthur - Bâtiment Le Cloitre;Ploërmel;56800;2021-01-21;;https://partners.doctolib.fr/hopital-public/ploermel/ghba-centre-de-vaccination-covid-ploermel?pid=practice-163739&enable_cookies_consent=1;428;doctolib;2;2;2541699:416664-408689:163739
LE FAOUET - Maison de santé;104, Rue de Saint Fiacre;Le Faouët;56320;2021-01-26;;https://vaccination-covid.keldoc.com/centre-hospitalier-regional/lorient-56100/groupe-hospitalier-bretagne-sud-lorient-hopital-du-scorff?cabinet=16913&specialty=144;904;keldoc;2;3;81484:49335:51414
PONTIVY - Gymnase Kerantrée;Rue Jeff le Penven;Pontivy;56300;2021-01-12;;https://vaccination-covid.keldoc.com/centre-hospitalier/noyal-pontivy-56920/centre-hospitalier-centre-bretagne/centre-de-vaccination-du-centre-hospitalier-centre-bretagne;454;keldoc;2;3;81597:51400:51402:55415:55702:55816:51401
LORIENT - Cité de la Voile;Rue Roland Morillot;Lorient;56323;2021-01-25;;https://vaccination-covid.keldoc.com/centre-hospitalier-regional/lorient-56100/groupe-hospitalier-bretagne-sud-lorient-hopital-du-scorff?specialty=144 ;1215;keldoc;2;3;81484:49747:51304:51300:51297:51301:51298:51299:51302:49331:49332:49395:50174:50175:51296:49609:51305:49926:50172:50173:51303:55691:55836:55839:55842
CH AURAY;2, Rue du Pratel;Auray;56400;2021-01-20;;https://partners.doctolib.fr/hopital-public/auray/chba-centre-de-vaccination-covid-d-auray?pid=practice-164632&enable_cookies_consent=1;894;doctolib;2;2;2541699:410753-423364:164632
GRANDCHAMP - Salle multifonctionnelle;Boulevard du stade;Grand-Champ;56390;2021-01-21;;https://partners.doctolib.fr/hopital-public/grand-champ/ghba-centre-de-vaccination-covid-grandchamp?pid=practice-165902&enable_cookies_consent=1;897;doctolib;2;2;2541699:413620-422263:165902
QUIBERON -MDA;Rue Jules Ferry;Quiberon;56170;2021-03-22;;https://partners.doctolib.fr/centre-de-vaccinations-internationales/quiberon/gh-broceliande-atlantique-ghba-centre-de-vaccination-covid-quiberon?pid=practice-177858&enable_cookies_consent=1;2120;doctolib;2;2;2541699:463181-450041:177858
SARZEAU - Médiathèque;rue du père coudrin;Sarzeau;56370;2021-03-06;;https://partners.doctolib.fr/centre-de-sante/sarzeau/gh-broceliande-atlantique-ghba-centre-de-vaccination-covid-sarzeau-sarzeau?pid=practice-176854&enable_cookies_consent=1;2119;doctolin;2;2;2629459:464306-439315-439318-439319-457183-440027:176854
MUZILLAC - Complexe sportif COSEC;Avenue du parc;Muzillac;56190;2021-01-25;;https://partners.doctolib.fr/hopital-public/muzillac/ch-bretagne-atlantique-chba-centre-de-vaccination-covid?pid=practice-166637&enable_cookies_consent=1;899;doctolib;2;2;2541699:415682-415765:166637
CDV CAUDAN;10, Rue du 19 Dragon;Caudan;56850;2021-04-06;;https://vaccination-covid.keldoc.com/centre-hospitalier-regional/lorient-56100/groupe-hospitalier-bretagne-sud-lorient-hopital-du-scorff?cabinet=18780&specialty=144;2350;keldoc;2;3;81484:53247:55707:53246:53241:55689:53244:53248:55706:53242:55837:55840:53474:55847:55845:53243:53473:55705:53249:53245:55690
56-Grand centre Kercado ;28, Rue Winston Churchill;Vannes;56000;2021-04-06;;https://partners.doctolib.fr/hopital-public/vannes/ghba-centre-de-vaccination-covid-vannes?pid=practice-179719&enable_cookies_consent=1;2223;doctolib;2;2;2541699:450202:179719
